,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,rank
OPA1,265.2143713,-0.361775053,0.153099092,-2.363012394,0.018127063,0.066171802,-1.74E+00
GRIA3,485.5793729,-0.361846902,0.116719667,-3.100136508,0.001934315,0.037135876,-2.71E+00
DLD,354.3220406,-0.362589192,0.144859899,-2.503033591,0.012313386,0.055188542,-1.91E+00
GRIK2,46.31943947,-0.368664231,0.18116908,-2.034918053,0.041859119,0.10593182,-1.38E+00
GLS,466.5515938,-0.369458318,0.152461582,-2.423287974,0.015380729,0.061597579,-1.81E+00
ABAT,491.4696046,-0.370894005,0.161630157,-2.294707946,0.021749867,0.073239349,-1.66E+00
NMNAT2,404.4515309,-0.371498209,0.169055814,-2.197488517,0.027985576,0.082980724,-1.55E+00
RAB3C,491.6117368,-0.372128051,0.193396413,-1.924172457,0.05433297,0.123825139,-1.26E+00
ATP6V1E1,1820.578093,-0.376379313,0.177464231,-2.120874219,0.033932389,0.091186387,-1.47E+00
SYT1,4567.642506,-0.378231313,0.196344378,-1.926366909,0.054058576,0.123825139,-1.27E+00
NEGR1,509.7373872,-0.379068506,0.149143864,-2.541629906,0.011033694,0.053348046,-1.96E+00
PGK1,1333.327299,-0.380558958,0.14051353,-2.708343872,0.006761992,0.044536765,-2.17E+00
CNTN1,479.1485109,-0.382829332,0.183123418,-2.090553656,0.036568094,0.095558433,-1.44E+00
CACNB4,255.8046428,-0.383196225,0.134432524,-2.850472583,0.004365431,0.041856857,-2.36E+00
PPP2CA,668.870461,-0.385113351,0.164827553,-2.33646222,0.019467164,0.068634234,-1.71E+00
GAD1,372.2926139,-0.385241535,0.141687753,-2.718947301,0.006549004,0.044286298,-2.18E+00
SOD1,1096.304469,-0.388864669,0.140457491,-2.768557714,0.005630501,0.042047671,-2.25E+00
CDK5,157.1590444,-0.393161186,0.141212971,-2.784171911,0.005366458,0.042047671,-2.27E+00
SNAP91,364.7910494,-0.393460127,0.184873771,-2.128263653,0.03331523,0.090457872,-1.48E+00
MUTYH,14.01017119,-0.393744353,0.205641756,-1.914710129,0.055529481,0.124367741,-1.26E+00
OXR1,820.0525553,-0.398656723,0.172698665,-2.308394929,0.020977181,0.071571053,-1.68E+00
HTT,109.7967765,-0.398722852,0.163957066,-2.431873548,0.01502095,0.06047934,-1.82E+00
AKT3,1046.762356,-0.398757398,0.158256159,-2.519695921,0.011745625,0.054131781,-1.93E+00
ATP6V1G2,745.3475469,-0.401012151,0.19904628,-2.014667906,0.043939457,0.108859015,-1.36E+00
POLR2K,231.1928332,-0.402876392,0.213654144,-1.885647457,0.059342478,0.129620523,-1.23E+00
SYNJ1,369.7396963,-0.405863932,0.156002031,-2.601658002,0.009277432,0.050687955,-2.03E+00
GABRB2,561.043377,-0.40714372,0.172107053,-2.365642279,0.017998826,0.066073528,-1.74E+00
UNC13A,368.0000326,-0.408209276,0.213042825,-1.916090234,0.055353611,0.124367741,-1.26E+00
SLC12A5,630.5936805,-0.40841462,0.156643207,-2.607292253,0.009126143,0.05034345,-2.04E+00
CHL1,319.7836423,-0.408813922,0.178903153,-2.285113012,0.022306202,0.073906091,-1.65E+00
NEFL,3469.851506,-0.410627704,0.233712838,-1.756975388,0.078922004,0.154928473,-1.10E+00
CADM3,892.6412658,-0.411082847,0.134580746,-3.05454427,0.002254027,0.037921861,-2.65E+00
DLAT,140.5516681,-0.41158745,0.146013496,-2.81883155,0.004819881,0.041856857,-2.32E+00
RTN4,1641.398194,-0.412781102,0.184976329,-2.231534727,0.02564573,0.078653261,-1.59E+00
TXNL1,150.6859973,-0.413961547,0.146740703,-2.821041054,0.004786808,0.041856857,-2.32E+00
ATP6V1D,189.9506448,-0.414607334,0.156419734,-2.650607595,0.008034713,0.048384221,-2.10E+00
